Name of restaurant,Country Code,City Name,Day,Start Time,End Time
1 Abercrombie Lane,AU,Sydney,0,0730,1530
1 Abercrombie Lane,AU,Sydney,1,0730,1530
1 Abercrombie Lane,AU,Sydney,2,0730,1530
1 Abercrombie Lane,AU,Sydney,3,0730,1530
1 Abercrombie Lane,AU,Sydney,4,0730,1530
#1 Chicken Rice & Seafood,US,Houston,0,1030,2030
#1 Chicken Rice & Seafood,US,Houston,1,1030,2030
#1 Chicken Rice & Seafood,US,Houston,2,1030,2030
#1 Chicken Rice & Seafood,US,Houston,3,1030,2030
#1 Chicken Rice & Seafood,US,Houston,4,1030,2030
#1 Chicken Rice & Seafood,US,Houston,5,1030,2000
#1 Chinese Kitchen,US,San Jose,0,1100,2100
#1 Chinese Kitchen,US,San Jose,2,1100,2100
#1 Chinese Kitchen,US,San Jose,3,1100,2100
#1 Chinese Kitchen,US,San Jose,4,1100,2100
#1 Chinese Kitchen,US,San Jose,5,1100,2100
#1 Chinese Kitchen,US,San Jose,6,1100,2100
10' Custom Pizzeria,AU,Braddon,0,1130,1500
10' Custom Pizzeria,AU,Braddon,0,1730,0000
10' Custom Pizzeria,AU,Braddon,1,1130,1500
10' Custom Pizzeria,AU,Braddon,1,1730,0000
10' Custom Pizzeria,AU,Braddon,2,1130,1500
10' Custom Pizzeria,AU,Braddon,2,1730,0000
10' Custom Pizzeria,AU,Braddon,3,1130,1500
10' Custom Pizzeria,AU,Braddon,3,1730,0000
10' Custom Pizzeria,AU,Braddon,4,1130,1500
10' Custom Pizzeria,AU,Braddon,4,1730,0000
10' Custom Pizzeria,AU,Braddon,5,1130,1500
10' Custom Pizzeria,AU,Braddon,5,1730,0000
10' Custom Pizzeria,AU,Braddon,6,1130,1500
10' Custom Pizzeria,AU,Braddon,6,1730,0000
10 Greek Street,GB,London,0,1200,2330
10 Greek Street,GB,London,1,1200,2330
10 Greek Street,GB,London,2,1200,2330
10 Greek Street,GB,London,3,1200,2330
10 Greek Street,GB,London,4,1200,2330
10 Greek Street,GB,London,5,1200,2330
10 Greek Street,GB,London,6,1730,2300
100% de Agave,US,Denver,0,1100,2200
100% de Agave,US,Denver,1,1100,2200
100% de Agave,US,Denver,2,1100,2200
100% de Agave,US,Denver,3,1100,2200
100% de Agave,US,Denver,4,1100,2300
100% de Agave,US,Denver,5,1100,2300
100% de Agave,US,Denver,6,1100,2200
100 Hoxton,GB,London,1,1100,0000
100 Hoxton,GB,London,2,1100,0000
100 Hoxton,GB,London,3,1100,0000
100 Hoxton,GB,London,4,1100,0000
100 Hoxton,GB,London,5,1100,0000
100 Hoxton,GB,London,6,1100,0000
11 Inch Pizza,AU,Melbourne,0,1100,2130
11 Inch Pizza,AU,Melbourne,1,1100,2130
11 Inch Pizza,AU,Melbourne,2,1100,2130
11 Inch Pizza,AU,Melbourne,3,1100,2130
11 Inch Pizza,AU,Melbourne,4,1100,2130
11 Inch Pizza,AU,Melbourne,5,1630,2130
11 Inch Pizza,AU,Melbourne,6,1630,2130
111 by Nico,GB,Glasgow,1,1200,1430
111 by Nico,GB,Glasgow,1,1700,2200
111 by Nico,GB,Glasgow,2,1200,1430
111 by Nico,GB,Glasgow,2,1700,2200
111 by Nico,GB,Glasgow,3,1200,1430
111 by Nico,GB,Glasgow,3,1700,2200
111 by Nico,GB,Glasgow,4,1200,1430
111 by Nico,GB,Glasgow,4,1700,2200
111 by Nico,GB,Glasgow,5,1200,2200
111 by Nico,GB,Glasgow,6,1200,2100
127 Bar and Bistro,AU,Brisbane,0,0630,2100
127 Bar and Bistro,AU,Brisbane,1,0630,2100
127 Bar and Bistro,AU,Brisbane,2,0630,2100
127 Bar and Bistro,AU,Brisbane,3,0630,2100
127 Bar and Bistro,AU,Brisbane,4,0630,2100
127 Bar and Bistro,AU,Brisbane,5,0700,1100
