,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
3,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Who Are You?,2001
4,1 win.,0,1,0,0,0,0,0,0,0,Skeletons in the Closet,2001
5,1 nomination.,1,0,0,0,0,0,0,0,0,Cheerleader Ninjas,2002
6,3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,The Girl from Paris,2001
7,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,The Final Curtain,2002
11,5 nominations.,5,0,0,0,0,0,0,0,0,Crazy/Beautiful,2001
13,2 wins & 5 nominations.,5,2,0,0,0,0,0,0,0,The Anniversary Party,2001
15,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,13,0,0,0,1,0,0,0,The Quiet American,2002
18,5 wins & 4 nominations.,4,5,0,0,0,0,0,0,0,Like Cat and Mouse,2002
24,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,34,14,0,1,0,0,0,0,0,Punch-Drunk Love,2002
25,3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,Romeo,2001
28,1 nomination.,1,0,0,0,0,0,0,0,0,Academia de baile Gloria,2001–
31,5 nominations.,5,0,0,0,0,0,0,0,0,Return to Never Land,2002
34,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Better Luck Tomorrow,2002
37,22 wins & 44 nominations.,44,2,0,0,0,0,0,0,0,A Grande Família,2001–
38,1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,El lado oscuro del corazón 2,2001
39,1 win & 8 nominations.,8,1,0,0,0,0,0,0,0,Slap Shot 2: Breaking the Ice,2002
43,2 nominations.,2,0,0,0,0,0,0,0,0,Van Wilder: Party Liaison,2002
47,6 wins & 1 nomination.,1,6,0,0,0,0,0,0,0,Black Box BRD,2001
50,Won 2 Golden Globes. Another 68 wins & 201 nominations.,201,68,0,0,2,0,0,0,0,24,2001–2010
51,Won 1 Golden Globe. Another 31 wins & 143 nominations.,143,31,0,0,1,0,0,0,0,Alias,2001–2006
53,Nominated for 4 Primetime Emmys. Another 16 nominations.,0,0,0,0,0,0,0,0,0,According to Jim,2001–2009
54,3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,The Education of Max Bickford,2001–2002
56,3 wins & 6 nominations.,6,3,0,0,0,0,0,0,0,A Padroeira,2001–2002
62,2 wins.,0,2,0,0,0,0,0,0,0,Poker,2001
69,6 wins & 4 nominations.,4,6,0,0,0,0,0,0,0,No Regrets,2001
